"Genes"	"Topic"	"count"
"1"	"Probes"	"ACE2"	5
"2"	"MARCH7"	"ACE2"	0
"3"	"SEPT10"	"ACE2"	0
"4"	"AASS"	"ACE2"	0
"5"	"AATF"	"ACE2"	0
"6"	"ACACA"	"ACE2"	0
"7"	"ACADM"	"ACE2"	0
"8"	"ACE2"	"ACE2"	1876
"9"	"ACSL1"	"ACE2"	0
"10"	"ACSL5"	"ACE2"	0
"11"	"ACSM3"	"ACE2"	0
"12"	"ACSS3"	"ACE2"	0
"13"	"ADAM10"	"ACE2"	2
"14"	"ADAMTS3"	"ACE2"	0
"15"	"ADD3"	"ACE2"	0
"16"	"ADSS"	"ACE2"	0
"17"	"AGL"	"ACE2"	0
"18"	"AGTPBP1"	"ACE2"	0
"19"	"AHCYL2"	"ACE2"	0
"20"	"AIFM1"	"ACE2"	0
"21"	"AKAP12"	"ACE2"	0
"22"	"AKAP7"	"ACE2"	0
"23"	"AKAP9"	"ACE2"	0
"24"	"ALKBH3"	"ACE2"	0
"25"	"ALOX15B"	"ACE2"	0
"26"	"ALPK1"	"ACE2"	0
"27"	"ANK3"	"ACE2"	0
"28"	"ANKRD17"	"ACE2"	0
"29"	"ANKRD36C"	"ACE2"	0
"30"	"AP2B1"	"ACE2"	0
"31"	"AP3B1"	"ACE2"	0
"32"	"AP5M1"	"ACE2"	0
"33"	"API5"	"ACE2"	0
"34"	"AQR"	"ACE2"	0
"35"	"ARFGEF1"	"ACE2"	0
"36"	"ARHGAP12"	"ACE2"	0
"37"	"ARHGAP18"	"ACE2"	0
"38"	"ARHGAP42"	"ACE2"	0
"39"	"ARID4A"	"ACE2"	0
"40"	"ARL15"	"ACE2"	0
"41"	"ARL6IP1"	"ACE2"	0
"42"	"ARMC8"	"ACE2"	0
"43"	"ARPC2"	"ACE2"	0
"44"	"ASCC3"	"ACE2"	0
"45"	"ASPH"	"ACE2"	0
"46"	"ATAD1"	"ACE2"	0
"47"	"ATE1"	"ACE2"	0
"48"	"ATF1"	"ACE2"	0
