,outbreak_qid,outbreak,country_qid,country
0,Q87193778,2020 coronavirus outbreak in Serbia,Q403,Serbia
1,Q87199320,2020 coronavirus outbreak in Palestine,Q219060,State of Palestine
2,Q87200954,2020 coronavirus outbreak in Slovakia,Q214,Slovakia
3,Q87202921,2020 coronavirus outbreak in Algeria,Q262,Algeria
4,Q87204911,2020 coronavirus outbreak in Estonia,Q191,Estonia
5,Q87222526,2020 coronavirus outbreak in Vatican City,Q237,Vatican City
6,Q87235137,2020 coronavirus outbreak in Argentina,Q414,Argentina
7,Q87235177,2020 coronavirus outbreak in Ukraine,Q212,Ukraine
8,Q87243915,2020 coronavirus outbreak in South Africa,Q258,South Africa
9,Q87245450,2020 coronavirus outbreak in Lebanon,Q822,Lebanon
10,Q87250691,2020 coronavirus outbreak in Kuwait,Q817,Kuwait
11,Q87250860,2020 coronavirus outbreak in Luxembourg,Q32,Luxembourg
12,Q87250877,2020 coronavirus outbreak in Monaco,Q235,Monaco
13,Q87250897,2020 coronavirus outbreak in North Macedonia,Q221,North Macedonia
14,Q87250913,2020 coronavirus outbreak in Georgia,Q230,Georgia
15,Q87250930,2020 coronavirus outbreak in Cameroon,Q29406548,Cameroun
16,Q87250948,2020 coronavirus pandemic in Slovenia,Q215,Slovenia
17,Q87343682,2020 coronavirus outbreak in Tunisia,Q948,Tunisia
18,Q87402404,2019–20 coronavirus outbreak in Hubei,Q148,People's Republic of China
19,Q87409953,2020 coronavirus pandemic in Washington (state),Q30,United States of America
20,Q87412028,2020 coronavirus outbreak in Brunei,Q921,Brunei
21,Q87414741,2020 coronavirus pandemic in New York (state),Q30,United States of America
22,Q87450756,2020 coronavirus outbreak in Albania,Q222,Albania
23,Q87454162,2020 coronavirus outbreak in Oman,Q842,Oman
24,Q87455852,2020 coronavirus pandemic in California,Q30,United States of America
25,Q87473205,2020 coronavirus outbreak in Turkey,Q43,Turkey
26,Q87477462,2020 coronavirus outbreak in Costa Rica,Q800,Costa Rica
27,Q87477841,2020 coronavirus outbreak in Panama,Q804,Panama
28,Q87480220,2020 coronavirus outbreak in Bolivia,Q750,Bolivia
29,Q87483673,2020 coronavirus pandemic in Colombia,Q739,Colombia
30,Q87486535,2020 coronavirus pandemic in Bulgaria,Q219,Bulgaria
31,Q87540454,2020 coronavirus pandemic in Bangladesh,Q902,Bangladesh
32,Q87563855,2020 coronavirus pandemic in the Dominican Republic,Q786,Dominican Republic
33,Q87580938,2020 coronavirus pandemic in Cyprus,Q229,Republic of Cyprus
34,Q87587760,2020 coronavirus pandemic in Malta,Q233,Malta
35,Q87587763,2020 coronavirus pandemic in Peru,Q419,Peru
36,Q87589123,2020 coronavirus pandemic in Paraguay,Q733,Paraguay
37,Q87589148,2020 coronavirus pandemic in Jordan,Q810,Jordan
38,Q87589392,2020 coronavirus pandemic in Honduras,Q783,Honduras
39,Q87590993,2020 coronavirus pandemic in Cuba,Q241,Cuba
40,Q87592982,2020 coronavirus pandemic in Moldova,Q217,Moldova
41,Q87599914,2020 coronavirus pandemic in Massachusetts,Q30,United States of America
42,Q87610822,2020 coronavirus pandemic in Jamaica,Q766,Jamaica
43,Q87648388,2020 coronavirus outbreak in Nouvelle-Calédonie,Q142,France
44,Q87648634,2020 coronavirus pandemic in Armenia,Q399,Armenia
