,country,total_cases,cases_today,na,total_deaths,deaths_today,classification,says since last case
0,,Total,Total,,,Total,,Days since last
1,Reporting Country/,,,,Total,,Transmission,
2,Territory/Area  †,confirmed ‡  cases,confirmed new cases 1,,deaths,new deaths1,classification§,reported case
3,Western Pacific Region,,,,,,,
4,China,81116,39,,3231,13,Local transmission,0
5,Republic of Korea,8320,84,,81,6,Local transmission,0
6,Japan,829,15,,28,4,Local transmission,0
7,Malaysia,553,0,,0,0,Local transmission,1
8,Australia,375,77,,5,0,Local transmission,0
9,Singapore,243,0,,0,0,Local transmission,1
10,Philippines,187,47,,12,0,Local transmission,0
11,Viet Nam,61,4,,0,0,Local transmission,0
12,Brunei Darussalam,50,0,,0,0,Local transmission,1
13,Cambodia,24,12,,0,0,Local transmission,0
14,New Zealand,11,5,,0,0,Local transmission,0
15,Mongolia,4,3,,0,0,Imported cases only,0
16,Territories**,,,,,,,
17,French Polynesia,3,0,,0,0,Imported cases only,2
18,Guam,3,3,,0,0,Local transmission,0
19,European Region,,,,,,,
20,Italy,27980,3233,,2503,349,Local transmission,0
21,Spain,9191,1438,,309,21,Local transmission,0
22,France,6573,1193,,148,21,Local transmission,0
23,Germany,6012,1174,,13,1,Local transmission,0
24,Switzerland,2200,0,,14,1,Local transmission,1
25,The United Kingdom,1547,152,,55,20,Local transmission,0
26,Netherlands,1413,278,,24,4,Local transmission,0
27,Norway,1169,92,,3,2,Local transmission,0
28,Austria,1132,173,,3,2,Local transmission,0
29,Belgium,1085,0,,5,0,Local transmission,1
30,Sweden,1059,67,,3,0,Local transmission,0
31,Denmark,960,62,,4,3,Local transmission,0
32,Czechia,383,85,,0,0,Local transmission,0
33,Greece,331,0,,4,0,Local transmission,1
34,Portugal,331,86,,0,0,Local transmission,0
35,Israel,250,50,,0,0,Local transmission,0
36,Finland,272,5,,0,0,Local transmission,0
37,Slovenia,253,34,,0,0,Local transmission,0
38,Ireland,223,54,,2,0,Local transmission,0
39,Estonia,205,0,,0,0,Local transmission,1
40,Iceland,199,19,,0,0,Local transmission,0
41,Romania,158,0,,0,0,Local transmission,1
42,Poland,150,0,,3,0,Local transmission,1
43,San Marino,102,10,,9,4,Local transmission,0
44,Russian Federation,93,30,,0,0,Imported cases only,0
45,Luxembourg,81,43,,1,0,Local transmission,0
46,Slovakia,72,11,,0,0,Local transmission,0
47,Bulgaria,67,16,,2,0,Local transmission,0
48,Serbia††,70,24,,0,0,Local transmission,0
49,Croatia,56,7,,0,0,Local transmission,0
0,Armenia,52,26.0,0.0,0.0,Local transmission,0.0,
1,Albania,51,9.0,1.0,0.0,Local transmission,0.0,
2,Hungary,50,11.0,1.0,0.0,Local transmission,0.0,
3,Turkey,47,42.0,0.0,0.0,Imported cases only,0.0,
4,Belarus,36,0.0,0.0,0.0,Local transmission,1.0,
5,Latvia,36,5.0,0.0,0.0,Imported cases only,0.0,
6,Cyprus,33,0.0,0.0,0.0,Imported cases only,1.0,
7,Georgia,33,0.0,0.0,0.0,Imported cases only,1.0,
8,Malta,30,9.0,0.0,0.0,Imported cases only,0.0,
9,Republic of Moldova,29,6.0,0.0,0.0,Local transmission,0.0,
10,Azerbaijan,19,0.0,0.0,0.0,Imported cases only,2.0,
11,Bosnia andHerzegovina,19,0.0,0.0,0.0,Local transmission,1.0,
12,North Macedonia,19,6.0,0.0,0.0,Local transmission,0.0,
13,Lithuania,17,3.0,0.0,0.0,Imported cases only,0.0,
14,Andorra,14,12.0,0.0,0.0,Imported cases only,0.0,
15,Monaco,9,0.0,0.0,0.0,Under investigation,1.0,
16,Liechtenstein,7,0.0,0.0,0.0,Imported cases only,1.0,
17,Ukraine,7,4.0,1.0,0.0,Local transmission,0.0,
18,Kazakhstan,6,0.0,0.0,0.0,Imported cases only,2.0,
19,Uzbekistan,4,0.0,0.0,0.0,Under investigation,1.0,
20,Holy See,1,0.0,0.0,0.0,Under investigation,11.0,
21,,erritories**,,,,,,
22,Faroe Islands,47,36.0,0.0,0.0,Imported cases only,0.0,
23,Gibraltar,3,2.0,0.0,0.0,Under investigation,0.0,
24,Jersey,2,0.0,0.0,0.0,Imported cases only,4.0,
25,Guernsey,1,0.0,0.0,0.0,Imported cases only,7.0,
26,,outh-East Asia Region,,,,,,
27,Indonesia,172,55.0,5.0,1.0,Local transmission,0.0,
28,Thailand,147,33.0,1.0,0.0,Local transmission,0.0,
29,India,137,23.0,3.0,1.0,Local transmission,0.0,
30,Sri Lanka,29,10.0,0.0,0.0,Local transmission,0.0,
31,Maldives,13,0.0,0.0,0.0,Local transmission,1.0,
32,Bangladesh,8,3.0,0.0,0.0,Local transmission,0.0,
33,Bhutan,1,0.0,0.0,0.0,Imported cases only,11.0,
34,Nepal,1,0.0,0.0,0.0,Imported cases only,53.0,
35,,astern Mediterranean Region,,,,,,
36,Iran (Islamic Republicof),14991,0.0,853.0,0.0,Local transmission,1.0,
37,Qatar,439,38.0,0.0,0.0,Local transmission,0.0,
38,Bahrain,229,8.0,1.0,0.0,Local transmission,0.0,
39,Pakistan,187,135.0,0.0,0.0,Imported cases only,0.0,
40,Egypt,166,40.0,4.0,2.0,Local transmission,0.0,
41,Saudi Arabia,133,30.0,0.0,0.0,Local transmission,0.0,
42,Kuwait,130,18.0,0.0,0.0,Local transmission,0.0,
43,Iraq,124,0.0,9.0,0.0,Local transmission,1.0,
44,Lebanon,109,10.0,3.0,0.0,Local transmission,0.0,
45,United Arab Emirates,98,0.0,0.0,0.0,Local transmission,1.0,
46,Morocco,38,10.0,2.0,1.0,Local transmission,0.0,
47,Jordan,35,29.0,0.0,0.0,Imported cases only,0.0,
48,Oman,24,2.0,0.0,0.0,Imported cases only,0.0,
49,Afghanistan,21,5.0,0.0,0.0,Imported cases only,0.0,
50,Tunisia,20,2.0,0.0,0.0,Local transmission,0.0,
51,Sudan,2,1.0,1.0,0.0,Imported cases only,0.0,
0,Somalia,1,1.0,0.0,0.0,Imported cases only,0.0,
1,,erritories**,,,,,,
2,occupied PalestinianTerritory,39,1.0,0.0,0.0,Local transmission,0.0,
3,,egion of the Americas,,,,,,
4,United States ofAmerica,3503,1825.0,58.0,17.0,Local transmission,0.0,
5,Canada,424,120.0,1.0,0.0,Local transmission,0.0,
6,Brazil,234,34.0,0.0,0.0,Local transmission,0.0,
7,Chile,156,81.0,0.0,0.0,Local transmission,0.0,
8,Peru,86,15.0,0.0,0.0,Local transmission,0.0,
9,Panama,69,26.0,1.0,0.0,Local transmission,0.0,
10,Argentina,65,9.0,2.0,0.0,Local transmission,0.0,
11,Ecuador,58,21.0,2.0,0.0,Local transmission,0.0,
12,Mexico,53,0.0,0.0,0.0,Imported cases only,1.0,
