,country,total_cases,cases_today,total_deaths,deaths_today,classification,says since last case
0,,Total,Total,,Total,,Days since last
1,Reporting Country/,,,Total,,Transmission,
2,,confirmed,confirmed,,new,,reported case
3,Territory/Area†,‡  cases,new cases1,deaths,deaths1,classification§,
4,Western Pacific Region,,,,,,
5,China,81116,39,3231,13,Local transmission,0
6,Republic of Korea,8320,84,81,6,Local transmission,0
7,Japan,829,15,28,4,Local transmission,0
8,Malaysia,553,0,0,0,Local transmission,1
9,Australia,414,78,5,0,Local transmission,0
10,Singapore,266,23,0,0,Local transmission,0
11,Philippines,187,45,12,0,Local transmission,0
12,Viet Nam,61,4,0,0,Local transmission,0
13,Brunei Darussalam,54,4,0,0,Local transmission,0
14,Cambodia,24,12,0,0,Local transmission,0
15,New Zealand,11,5,0,0,Local transmission,0
16,Mongolia,4,0,0,0,Imported cases only,1
17,Territories**,,,,,,
18,French Polynesia,3,0,0,0,Imported cases only,2
19,Guam,3,3,0,0,Local transmission,0
20,European Region,,,,,,
21,Italy,31506,3526,2503,345,Local transmission,0
22,Spain,11178,1987,491,182,Local transmission,0
23,France,7652,1079,175,27,Local transmission,0
24,Germany,7156,1144,13,0,Local transmission,0
25,Switzerland,2650,450,14,5,Local transmission,0
26,The United Kingdom,1954,407,55,5,Local transmission,0
27,Netherlands,1705,292,43,19,Local transmission,0
28,Belgium,1486,401,14,9,Local transmission,0
29,Austria,1332,373,3,2,Local transmission,0
30,Norway,1308,139,3,0,Local transmission,0
31,Sweden,1167,108,3,0,Local transmission,0
32,Denmark,977,79,4,3,Local transmission,0
33,Portugal,448,117,1,1,Local transmission,0
34,Czechia,434,136,0,0,Local transmission,0
35,Greece,387,56,4,0,Local transmission,0
36,Finland,319,47,0,0,Local transmission,0
37,Israel,304,0,0,0,Local transmission,1
38,Ireland,292,69,2,0,Local transmission,0
39,Slovenia,275,22,1,1,Local transmission,0
40,Poland,246,96,5,2,Local transmission,0
41,Estonia,225,20,0,0,Local transmission,0
42,Iceland,225,45,0,0,Local transmission,0
43,Romania,184,26,0,0,Local transmission,0
44,Luxembourg,140,59,1,0,Local transmission,0
45,San Marino,104,2,11,2,Local transmission,0
46,Slovakia,97,25,0,0,Local transmission,0
47,Russian Federation,93,0,0,0,Imported cases only,1
48,Bulgaria,81,14,2,0,Local transmission,0
49,Serbia††,85,23,0,0,Local transmission,0
50,Croatia,65,9,0,0,Local transmission,0
0,Latvia,60,24.0,0.0,0.0,Imported cases only,0.0
1,Albania,55,4.0,1.0,0.0,Local transmission,0.0
2,Armenia,52,0.0,0.0,0.0,Local transmission,1.0
3,Hungary,50,11.0,1.0,0.0,Local transmission,0.0
4,Turkey,47,0.0,0.0,0.0,Imported cases only,1.0
5,Malta,38,8.0,0.0,0.0,Imported cases only,0.0
6,Belarus,36,0.0,0.0,0.0,Local transmission,1.0
7,Georgia,34,1.0,0.0,0.0,Imported cases only,0.0
8,Cyprus,33,0.0,0.0,0.0,Imported cases only,1.0
9,Kazakhstan,33,27.0,0.0,0.0,Imported cases only,0.0
10,North Macedonia,31,12.0,0.0,0.0,Local transmission,0.0
11,Republic of Moldova,30,1.0,0.0,0.0,Local transmission,0.0
12,Lithuania,25,8.0,0.0,0.0,Imported cases only,0.0
13,Azerbaijan,21,0.0,0.0,0.0,Imported cases only,2.0
14,Bosnia andHerzegovina,19,0.0,0.0,0.0,Local transmission,2.0
15,Andorra,16,2.0,0.0,0.0,Imported cases only,0.0
16,Uzbekistan,16,12.0,0.0,0.0,Imported cases only,0.0
17,Ukraine,14,9.0,2.0,1.0,Local transmission,0.0
18,Monaco,9,0.0,0.0,0.0,Under investigation,1.0
19,Liechtenstein,7,0.0,0.0,0.0,Imported cases only,1.0
20,Montenegro,2,2.0,0.0,0.0,Imported cases only,0.0
21,Holy See,1,0.0,0.0,0.0,Under investigation,11.0
22,,erritories**,,,,,
23,Faroe Islands,47,36.0,0.0,0.0,Imported cases only,0.0
24,Jersey,5,3.0,0.0,0.0,Imported cases only,0.0
25,Gibraltar,3,0.0,0.0,0.0,Under investigation,1.0
26,Guernsey,1,0.0,0.0,0.0,Imported cases only,8.0
27,,outh-East Asia Region,,,,,
28,Thailand,177,30.0,1.0,0.0,Local transmission,0.0
29,Indonesia,172,0.0,5.0,0.0,Local transmission,1.0
30,India,137,23.0,3.0,1.0,Local transmission,0.0
31,Sri Lanka,29,10.0,0.0,0.0,Local transmission,0.0
32,Maldives,13,0.0,0.0,0.0,Local transmission,2.0
33,Bangladesh,8,0.0,0.0,0.0,Local transmission,1.0
34,Bhutan,1,0.0,0.0,0.0,Imported cases only,11.0
35,Nepal,1,0.0,0.0,0.0,Imported cases only,54.0
36,,astern Mediterranean Region,,,,,
37,Iran (Islamic Republicof),16169,1178.0,988.0,135.0,Local transmission,0.0
38,Qatar,442,41.0,0.0,0.0,Local transmission,0.0
39,Bahrain,237,16.0,1.0,0.0,Local transmission,0.0
40,Pakistan,187,134.0,0.0,0.0,Imported cases only,0.0
41,Saudi Arabia,171,38.0,0.0,0.0,Local transmission,0.0
42,Egypt,166,40.0,4.0,2.0,Local transmission,0.0
43,Iraq,154,30.0,11.0,2.0,Local transmission,0.0
44,Kuwait,130,7.0,0.0,0.0,Local transmission,0.0
45,Lebanon,120,21.0,3.0,0.0,Local transmission,0.0
46,United Arab Emirates,98,0.0,0.0,0.0,Local transmission,2.0
47,Morocco,38,9.0,2.0,1.0,Local transmission,0.0
48,Jordan,35,29.0,0.0,0.0,Imported cases only,0.0
49,Oman,24,2.0,0.0,0.0,Imported cases only,0.0
50,Tunisia,24,4.0,0.0,0.0,Local transmission,0.0
51,Afghanistan,22,1.0,0.0,0.0,Imported cases only,0.0
0,Somalia,1,0.0,0.0,0.0,Imported cases only,1.0
1,Sudan,1,0.0,1.0,0.0,Imported cases only,3.0
2,,erritories**,,,,,
3,occupied Palestinianterritory,41,2.0,0.0,0.0,Local transmission,0.0
4,,egion of the Americas,,,,,
5,United States ofAmerica,3536,1822.0,58.0,17.0,Local transmission,0.0
6,Canada,424,120.0,1.0,0.0,Local transmission,0.0
7,Brazil,234,34.0,0.0,0.0,Local transmission,0.0
8,Chile,156,81.0,0.0,0.0,Local transmission,0.0
9,Peru,86,15.0,0.0,0.0,Local transmission,0.0
10,Mexico,82,29.0,0.0,0.0,Imported cases only,0.0
11,Panama,69,26.0,1.0,0.0,Local transmission,0.0
12,Argentina,65,9.0,2.0,0.0,Local transmission,0.0
13,Ecuador,58,21.0,2.0,0.0,Local transmission,0.0
14,Colombia,45,11.0,0.0,0.0,Local transmission,0.0
15,Costa Rica,41,6.0,0.0,0.0,Local transmission,0.0
