,country,total_cases,cases_today,total_deaths,deaths_today,classification,says since last case
0,,Total,Total,,Total,,Days since last
1,Reporting Country/,,,Total,,Transmission,
2,Territory/Area  †,confirmed ‡  cases,confirmed new cases,deaths,new deaths,classification§,reported case
3,Western Pacific Region,,,,,,
4,China,81848,101,3287,4,Local transmission,0
5,Republic of Korea,9137,100,126,6,Local transmission,0
6,Australia,2252,543,8,1,Local transmission,0
7,Malaysia,1624,106,16,2,Local transmission,0
8,Japan,1193,65,43,1,Local transmission,0
9,Singapore,558,51,2,0,Local transmission,0
10,Philippines,552,90,35,2,Local transmission,0
11,New Zealand,189,87,0,0,Local transmission,0
12,Viet Nam,134,11,0,0,Local transmission,0
13,Brunei Darussalam,104,13,0,0,Local transmission,0
14,Cambodia,91,4,0,0,Local transmission,0
15,Mongolia,10,0,0,0,Imported cases only,3
16,Fiji,4,1,0,0,Local transmission,0
17,Lao People's,,,,,,
18,,2,2,0,0,Under investigation,0
19,Democratic Republic,,,,,,
20,Papua New Guinea,1,0,0,0,Imported cases only,4
21,Territories**,,,,,,
22,Guam,32,3,1,0,Local transmission,0
23,French Polynesia,25,7,0,0,Local transmission,0
24,New Caledonia,10,2,0,0,Local transmission,0
25,European Region,,,,,,
26,Italy,69176,5249,6820,743,Local transmission,0
27,Spain,39673,6584,2696,514,Local transmission,0
28,Germany,31554,2342,149,23,Local transmission,0
29,France,22025,2410,1100,240,Local transmission,0
30,Switzerland,8789,774,86,20,Local transmission,0
31,The United Kingdom,8081,1427,422,87,Local transmission,0
33,Austria,5282,796,30,5,Local transmission,0
34,Belgium,4269,526,122,34,Local transmission,0
35,Norway,2566,195,10,2,Local transmission,0
37,Sweden,2272,256,36,11,Local transmission,0
38,Israel,2170,932,5,4,Local transmission,0
39,Turkey,1872,343,44,7,Local transmission,0
40,Denmark,1591,131,32,8,Local transmission,0
41,Czechia,1394,158,3,2,Local transmission,0
42,Ireland,1329,204,7,1,Local transmission,0
43,Luxembourg,1099,224,8,0,Local transmission,0
44,Poland,901,152,10,2,Local transmission,0
45,Finland,792,92,1,0,Local transmission,0
46,Romania,762,186,11,4,Local transmission,0
47,Greece,743,48,20,3,Local transmission,0
48,Russian Federation,658,220,0,0,Local transmission,0
49,Iceland,648,60,2,0,Local transmission,0
50,Slovenia,480,38,3,2,Local transmission,0
0,Croatia,382,76.0,1.0,1.0,Local transmission,0.0
1,Estonia,369,17.0,0.0,0.0,Local transmission,0.0
2,Serbia,303,54.0,3.0,1.0,Local transmission,0.0
3,Armenia,265,30.0,0.0,0.0,Local transmission,0.0
4,Hungary,226,39.0,10.0,2.0,Local transmission,0.0
5,Bulgaria,220,19.0,3.0,0.0,Local transmission,0.0
6,Lithuania,209,30.0,2.0,1.0,Local transmission,0.0
7,Slovakia,204,13.0,0.0,0.0,Local transmission,0.0
8,Latvia,197,17.0,0.0,0.0,Local transmission,0.0
9,Andorra,188,24.0,1.0,0.0,Local transmission,0.0
10,San Marino,187,0.0,21.0,1.0,Local transmission,1.0
11,Bosnia and Herzegovina,164,33.0,2.0,1.0,Local transmission,0.0
12,North Macedonia,148,12.0,2.0,0.0,Local transmission,0.0
13,Albania,146,23.0,5.0,1.0,Local transmission,0.0
14,Republic of Moldova,125,16.0,1.0,0.0,Local transmission,0.0
15,Cyprus,124,8.0,3.0,3.0,Local transmission,0.0
16,Malta,120,13.0,0.0,0.0,Local transmission,0.0
17,Ukraine,113,29.0,4.0,1.0,Local transmission,0.0
18,Azerbaijan,87,15.0,1.0,0.0,Local transmission,0.0
19,Belarus,81,0.0,0.0,0.0,Local transmission,1.0
20,Kazakhstan,79,16.0,0.0,0.0,Imported cases only,0.0
21,Georgia,73,6.0,0.0,0.0,Local transmission,0.0
22,Uzbekistan,50,4.0,0.0,0.0,Local transmission,0.0
23,Liechtenstein,47,1.0,0.0,0.0,Imported cases only,0.0
24,Kyrgyzstan,42,26.0,0.0,0.0,Local transmission,0.0
25,Montenegro,29,7.0,0.0,0.0,Imported cases only,0.0
26,Monaco,23,0.0,0.0,0.0,Local transmission,2.0
27,Holy See,1,0.0,0.0,0.0,Under investigation,18.0
28,,erritories**,,,,,
29,Faroe Islands,122,4.0,0.0,0.0,Local transmission,0.0
30,Kosovo[1],63,2.0,1.0,0.0,Local transmission,0.0
31,Guernsey,23,3.0,0.0,0.0,Local transmission,0.0
32,Isle of Man,23,10.0,0.0,0.0,Imported cases only,0.0
33,Jersey,16,0.0,0.0,0.0,Local transmission,1.0
34,Gibraltar,15,0.0,0.0,0.0,Local transmission,2.0
35,Greenland,4,0.0,0.0,0.0,Under investigation,1.0
36,,outh-East Asia Region,,,,,
37,Thailand,934,107.0,4.0,0.0,Local transmission,0.0
38,Indonesia,686,107.0,55.0,6.0,Local transmission,0.0
39,India,562,128.0,9.0,0.0,Local transmission,0.0
40,Sri Lanka,102,5.0,0.0,0.0,Local transmission,0.0
41,Bangladesh,39,6.0,4.0,1.0,Local transmission,0.0
42,Maldives,13,0.0,0.0,0.0,Local transmission,9.0
43,Myanmar,3,1.0,0.0,0.0,Imported cases only,0.0
44,Bhutan,2,0.0,0.0,0.0,Imported cases only,5.0
45,Nepal,2,0.0,0.0,0.0,Imported cases only,1.0
46,Timor-Leste,1,0.0,0.0,0.0,Imported cases only,4.0
47,,astern Mediterranean Region,,,,,
48,Iran (Islamic Republic of),24811,1762.0,1934.0,122.0,Local transmission,0.0
49,Pakistan,991,104.0,7.0,1.0,Local transmission,0.0
50,Saudi Arabia,767,205.0,1.0,1.0,Local transmission,0.0
51,Qatar,526,25.0,0.0,0.0,Local transmission,0.0
0,Egypt,402,36.0,20.0,1.0,Local transmission,0.0
1,Bahrain,392,15.0,3.0,1.0,Local transmission,0.0
2,Iraq,316,50.0,27.0,4.0,Local transmission,0.0
3,Lebanon,304,37.0,4.0,0.0,Local transmission,0.0
4,United Arab Emirates,248,50.0,2.0,0.0,Local transmission,0.0
5,Kuwait,195,4.0,0.0,0.0,Local transmission,0.0
6,Morocco,170,27.0,5.0,1.0,Local transmission,0.0
7,Jordan,153,26.0,0.0,0.0,Imported cases only,0.0
8,Tunisia,114,25.0,3.0,0.0,Local transmission,0.0
9,Oman,99,15.0,0.0,0.0,Local transmission,0.0
10,Afghanistan,74,32.0,1.0,0.0,Imported cases only,0.0
11,Djibouti,3,0.0,0.0,0.0,Imported cases only,1.0
12,Sudan,3,1.0,1.0,0.0,Imported cases only,0.0
13,Libya,1,1.0,0.0,0.0,Imported cases only,0.0
14,Somalia,1,0.0,0.0,0.0,Imported cases only,8.0
15,Syrian Arab Republic,1,0.0,0.0,0.0,Imported cases only,2.0
16,,Territories**,,,,,
