,country,total_cases,cases_today,total_deaths,deaths_today,classification,says since last case
0,Croatia,586,91.0,3.0,1.0,Local transmission,0.0
1,Estonia,575,37.0,1.0,0.0,Local transmission,0.0
2,Serbia,528,71.0,7.0,0.0,Local transmission,0.0
3,Armenia,372,43.0,1.0,0.0,Local transmission,0.0
4,Lithuania,358,59.0,5.0,1.0,Local transmission,0.0
5,Hungary,343,43.0,11.0,1.0,Local transmission,0.0
6,Ukraine,311,93.0,8.0,3.0,Local transmission,0.0
7,Slovakia,295,69.0,0.0,0.0,Local transmission,0.0
8,Bulgaria,293,29.0,3.0,0.0,Local transmission,0.0
9,Andorra,289,58.0,3.0,0.0,Local transmission,0.0
10,Latvia,280,36.0,0.0,0.0,Local transmission,0.0
11,Bosnia and Herzegovina,233,20.0,4.0,1.0,Local transmission,0.0
12,San Marino,228,10.0,21.0,0.0,Local transmission,0.0
13,North Macedonia,219,18.0,3.0,0.0,Local transmission,0.0
14,Kazakhstan,204,79.0,1.0,1.0,Imported cases only,0.0
15,Republic of Moldova,199,22.0,2.0,0.0,Local transmission,0.0
16,Albania,197,11.0,9.0,1.0,Local transmission,0.0
17,Cyprus,162,16.0,5.0,2.0,Local transmission,0.0
18,Azerbaijan,147,25.0,3.0,0.0,Local transmission,0.0
19,Malta,139,5.0,0.0,0.0,Local transmission,0.0
20,Uzbekistan,104,21.0,1.0,1.0,Local transmission,0.0
21,Belarus,94,8.0,0.0,0.0,Local transmission,0.0
22,Georgia,85,4.0,0.0,0.0,Local transmission,0.0
23,Montenegro,70,3.0,1.0,0.0,Local transmission,0.0
24,Liechtenstein,60,4.0,0.0,0.0,Imported cases only,0.0
25,Kyrgyzstan,58,0.0,0.0,0.0,Local transmission,1.0
26,Monaco,19,0.0,0.0,0.0,Local transmission,5.0
27,Holy See,4,0.0,0.0,0.0,Under investigation,2.0
28,,erritories**,,,,,
29,Faroe Islands,144,4.0,0.0,0.0,Local transmission,0.0
30,Kosovo[1],88,9.0,1.0,0.0,Local transmission,0.0
31,Gibraltar,55,20.0,0.0,0.0,Local transmission,0.0
32,Jersey,52,20.0,1.0,0.0,Local transmission,0.0
33,Guernsey,36,2.0,0.0,0.0,Local transmission,0.0
34,Isle of Man,29,3.0,0.0,0.0,Local transmission,0.0
35,Greenland,9,3.0,0.0,0.0,Under investigation,0.0
36,,outh-East Asia Region,,,,,
37,Thailand,1136,0.0,5.0,0.0,Local transmission,1.0
