,country,total_cases,total_deaths,outbreak_qid,outbreak
7,Japan,873,29,Q83872291,2019–20 coronavirus outbreak in Japan
18,Malaysia,673,2,Q83873556,2019–20 coronavirus outbreak in Malaysia
24,Australia,510,6,Q83873548,2019–20 coronavirus outbreak in Australia
31,Singapore,313,0,Q83873387,2019–20 coronavirus outbreak in Singapore
39,Philippines,187,14,Q84055544,2019–20 coronavirus outbreak in the Philippines
50,Cambodia,35,0,Q83888864,2019–20 coronavirus outbreak in Cambodia
58,New Zealand,20,0,Q87250803,2020 coronavirus outbreak in New Zealand
64,Mongolia,5,0,Q87708832,2020 coronavirus pandemic in Mongolia
73,Italy,35713,2978,Q84104992,2020 coronavirus pandemic in Italy
79,Spain,13716,598,Q84166704,2019–20 COVID-19 outbreak in Spain
84,France,9043,244,Q83873593,2020 coronavirus outbreak in France
91,Germany,8198,13,Q83889294,2020 coronavirus pandemic in Germany
98,Switzerland,3010,21,Q86717788,2020 coronavirus pandemic in Switzerland
107,Austria,1646,4,Q86847911,2020 coronavirus outbreak in Austria
114,Belgium,1486,14,Q84446340,2020 coronavirus pandemic in Belgium
118,Norway,1423,3,Q86886544,2020 coronavirus pandemic in Norway
127,Sweden,1279,3,Q84081576,2020 coronavirus pandemic in Sweden
131,Denmark,1044,4,Q86597685,2020 coronavirus outbreak in Denmark
143,Greece,418,5,Q87068864,2020 coronavirus pandemic in Greece
149,Finland,359,0,Q84055415,2019–20 coronavirus outbreak in Finland
161,Ireland,292,2,Q87186365,2020 coronavirus outbreak in the Republic of Ireland
172,Poland,287,5,Q87250695,2020 coronavirus pandemic in Poland
177,Slovenia,286,1,Q87250948,2020 coronavirus pandemic in Slovenia
185,Estonia,258,0,Q87204911,2020 coronavirus outbreak in Estonia
191,Iceland,250,0,Q87121993,2020 coronavirus outbreak in Iceland
196,Romania,246,0,Q87250752,2020 coronavirus pandemic in Romania
201,Luxembourg,210,2,Q87250860,2020 coronavirus outbreak in Luxembourg
207,Turkey,191,2,Q87473205,2020 coronavirus outbreak in Turkey
212,San Marino,109,14,Q87123561,2020 coronavirus outbreak in San Marino
216,Slovakia,105,0,Q87200954,2020 coronavirus outbreak in Slovakia
221,Bulgaria,92,2,Q87486535,2020 coronavirus pandemic in Bulgaria
